#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 22:51:48 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09019500 COLORADO RIVER NEAR GRANBY,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9019500,60,18409,1949,10,27.9,
USGS,9019500,60,18409,1949,11,30.2,
USGS,9019500,60,18409,1949,12,31.6,
USGS,9019500,60,18409,1950,1,26.5,
USGS,9019500,60,18409,1950,2,40.6,
USGS,9019500,60,18409,1950,3,44,
USGS,9019500,60,18409,1950,4,42,
USGS,9019500,60,18409,1950,5,32.6,
USGS,9019500,60,18409,1950,6,23.1,
USGS,9019500,60,18409,1950,7,14.6,
USGS,9019500,60,18409,1950,8,19.2,
USGS,9019500,60,18409,1950,9,28.1,
USGS,9019500,60,18409,1950,10,29.8,
USGS,9019500,60,18409,1950,11,32.7,
USGS,9019500,60,18409,1950,12,31.4,
USGS,9019500,60,18409,1951,1,29.9,
USGS,9019500,60,18409,1951,2,30,
USGS,9019500,60,18409,1951,3,31.9,
USGS,9019500,60,18409,1951,4,33.9,
USGS,9019500,60,18409,1951,5,51,
USGS,9019500,60,18409,1951,6,56.9,
USGS,9019500,60,18409,1951,7,51.4,
USGS,9019500,60,18409,1951,8,38.2,
USGS,9019500,60,18409,1951,9,22.3,
USGS,9019500,60,18409,1951,10,18.4,
USGS,9019500,60,18409,1951,11,20.8,
USGS,9019500,60,18409,1951,12,21.7,
USGS,9019500,60,18409,1952,1,20.1,
USGS,9019500,60,18409,1952,2,20.4,
USGS,9019500,60,18409,1952,3,21.7,
USGS,9019500,60,18409,1952,4,46.6,
USGS,9019500,60,18409,1952,5,93,
USGS,9019500,60,18409,1952,6,225.5,
USGS,9019500,60,18409,1952,7,61.2,
USGS,9019500,60,18409,1952,8,72.5,
USGS,9019500,60,18409,1952,9,100.9,
USGS,9019500,60,18409,1952,10,102.6,
USGS,9019500,60,18409,1952,11,25.1,
USGS,9019500,60,18409,1952,12,28.5,
USGS,9019500,60,18409,1953,1,31.6,
USGS,9019500,60,18409,1953,2,30.6,
USGS,9019500,60,18409,1953,3,30.2,
USGS,9019500,60,18409,1953,4,30.5,
USGS,9019500,60,18409,1953,5,73.6,
USGS,9019500,60,18409,1953,6,66.2,
USGS,9019500,60,18409,1953,7,61.9,
USGS,9019500,60,18409,1953,8,43.3,
USGS,9019500,60,18409,1961,5,64.1,
USGS,9019500,60,18409,1961,6,69.7,
USGS,9019500,60,18409,1961,7,62.1,
USGS,9019500,60,18409,1961,8,31.4,
USGS,9019500,60,18409,1961,9,20.4,
USGS,9019500,60,18409,1962,5,243.4,
USGS,9019500,60,18409,1962,6,178.4,
USGS,9019500,60,18409,1962,7,414.4,
USGS,9019500,60,18409,1962,8,58.5,
USGS,9019500,60,18409,1962,9,27.6,
USGS,9019500,60,18409,1963,5,54.2,
USGS,9019500,60,18409,1963,6,55.1,
USGS,9019500,60,18409,1963,7,54.6,
USGS,9019500,60,18409,1963,8,31,
USGS,9019500,60,18409,1963,9,15.9,
USGS,9019500,60,18409,1964,5,67.5,
USGS,9019500,60,18409,1964,6,64.3,
USGS,9019500,60,18409,1964,7,64.2,
USGS,9019500,60,18409,1964,8,36.1,
USGS,9019500,60,18409,1964,9,16.8,
USGS,9019500,60,18409,1965,5,76.4,
USGS,9019500,60,18409,1965,6,79.6,
USGS,9019500,60,18409,1965,7,80.9,
USGS,9019500,60,18409,1965,8,46.2,
USGS,9019500,60,18409,1965,9,19.6,
USGS,9019500,60,18409,1966,5,55.5,
USGS,9019500,60,18409,1966,6,54.9,
USGS,9019500,60,18409,1966,7,54,
USGS,9019500,60,18409,1966,8,27.5,
USGS,9019500,60,18409,1966,9,13.8,
USGS,9019500,60,18409,1967,5,74.8,
USGS,9019500,60,18409,1967,6,74,
USGS,9019500,60,18409,1967,7,75.2,
USGS,9019500,60,18409,1967,8,41.6,
USGS,9019500,60,18409,1967,9,20.4,
USGS,9019500,60,18409,1968,5,73.4,
USGS,9019500,60,18409,1968,6,75,
USGS,9019500,60,18409,1968,7,75.1,
USGS,9019500,60,18409,1968,8,35.9,
USGS,9019500,60,18409,1968,9,17.7,
USGS,9019500,60,18409,1969,5,65,
USGS,9019500,60,18409,1969,6,63.3,
USGS,9019500,60,18409,1969,7,72.3,
USGS,9019500,60,18409,1969,8,42.7,
USGS,9019500,60,18409,1969,9,20.4,
USGS,9019500,60,18409,1970,5,74.2,
USGS,9019500,60,18409,1970,6,71,
USGS,9019500,60,18409,1970,7,71,
USGS,9019500,60,18409,1970,8,40.2,
USGS,9019500,60,18409,1970,9,20.1,
USGS,9019500,60,18409,1971,5,290.3,
USGS,9019500,60,18409,1971,6,495.7,
USGS,9019500,60,18409,1971,7,148.6,
USGS,9019500,60,18409,1971,8,38.1,
USGS,9019500,60,18409,1971,9,17.8,
USGS,9019500,60,18409,1972,5,83.2,
USGS,9019500,60,18409,1972,6,79.3,
USGS,9019500,60,18409,1972,7,76.1,
USGS,9019500,60,18409,1972,8,38.1,
USGS,9019500,60,18409,1972,9,19.2,
USGS,9019500,60,18409,1973,5,76,
USGS,9019500,60,18409,1973,6,132.8,
USGS,9019500,60,18409,1973,7,552.8,
USGS,9019500,60,18409,1973,8,38.7,
USGS,9019500,60,18409,1973,9,19.4,
USGS,9019500,60,18409,1974,5,164,
USGS,9019500,60,18409,1974,6,574.2,
USGS,9019500,60,18409,1974,7,76,
USGS,9019500,60,18409,1974,8,37.2,
USGS,9019500,60,18409,1974,9,17.6,
USGS,9019500,60,18409,1975,5,77.8,
USGS,9019500,60,18409,1975,6,78.7,
USGS,9019500,60,18409,1975,7,78.8,
USGS,9019500,60,18409,1975,8,42,
USGS,9019500,60,18409,1975,9,18,
USGS,9019500,60,18409,1976,5,72.5,
USGS,9019500,60,18409,1976,6,76.7,
USGS,9019500,60,18409,1976,7,74.1,
USGS,9019500,60,18409,1976,8,38,
USGS,9019500,60,18409,1976,9,18.1,
USGS,9019500,60,18409,1977,5,55.2,
USGS,9019500,60,18409,1977,6,53.5,
USGS,9019500,60,18409,1977,7,52,
USGS,9019500,60,18409,1977,8,39.2,
USGS,9019500,60,18409,1977,9,11.1,
USGS,9019500,60,18409,1978,5,78.7,
USGS,9019500,60,18409,1978,6,78.1,
USGS,9019500,60,18409,1978,7,73,
USGS,9019500,60,18409,1978,8,41.1,
USGS,9019500,60,18409,1978,9,21.4,
USGS,9019500,60,18409,1979,5,73.7,
USGS,9019500,60,18409,1979,6,75.7,
USGS,9019500,60,18409,1979,7,76,
USGS,9019500,60,18409,1979,8,40.9,
USGS,9019500,60,18409,1979,9,19.4,
USGS,9019500,60,18409,1980,5,74,
USGS,9019500,60,18409,1980,6,75.5,
USGS,9019500,60,18409,1980,7,76.2,
USGS,9019500,60,18409,1980,8,40.5,
USGS,9019500,60,18409,1980,9,20.9,
USGS,9019500,60,18409,1981,5,55.1,
USGS,9019500,60,18409,1981,6,54.1,
USGS,9019500,60,18409,1981,7,50.6,
USGS,9019500,60,18409,1981,8,19.9,
USGS,9019500,60,18409,1981,9,11.3,
USGS,9019500,60,18409,1982,5,73.2,
USGS,9019500,60,18409,1982,6,72.7,
USGS,9019500,60,18409,1982,7,67.5,
USGS,9019500,60,18409,1982,8,34.2,
USGS,9019500,60,18409,1982,9,18.7,
USGS,9019500,60,18409,1983,5,69.9,
USGS,9019500,60,18409,1983,6,72.7,
USGS,9019500,60,18409,1983,7,780.3,
USGS,9019500,60,18409,1983,8,107,
USGS,9019500,60,18409,1983,9,20.2,
USGS,9019500,60,18409,1984,4,628.6,
USGS,9019500,60,18409,1984,5,465.2,
USGS,9019500,60,18409,1984,6,953.8,
USGS,9019500,60,18409,1984,7,672.4,
USGS,9019500,60,18409,1984,8,30.8,
USGS,9019500,60,18409,1984,9,19.6,
