#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 22:50:03 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09050700 BLUE RIVER BELOW DILLON,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9050700,60,18527,1980,1,89.4,
USGS,9050700,60,18527,1980,2,75.6,
USGS,9050700,60,18527,1980,3,71.9,
USGS,9050700,60,18527,1980,4,103.6,
USGS,9050700,60,18527,1980,5,415.1,
USGS,9050700,60,18527,1980,6,1292,
USGS,9050700,60,18527,1980,7,607.5,
USGS,9050700,60,18527,1980,8,160.7,
USGS,9050700,60,18527,1980,9,141.5,
USGS,9050700,60,18527,1980,10,72.6,
USGS,9050700,60,18527,1980,11,100.7,
USGS,9050700,60,18527,1980,12,76.6,
USGS,9050700,60,18527,1981,1,55.1,
USGS,9050700,60,18527,1981,2,59.3,
USGS,9050700,60,18527,1981,3,55.4,
USGS,9050700,60,18527,1981,4,75.9,
USGS,9050700,60,18527,1981,5,83.7,
USGS,9050700,60,18527,1981,6,50.7,
USGS,9050700,60,18527,1981,7,51.5,
USGS,9050700,60,18527,1981,8,51.7,
USGS,9050700,60,18527,1981,9,52.1,
USGS,9050700,60,18527,1981,10,51.1,
USGS,9050700,60,18527,1981,11,51.1,
USGS,9050700,60,18527,1981,12,55,
USGS,9050700,60,18527,1982,1,62,
USGS,9050700,60,18527,1982,2,60.1,
USGS,9050700,60,18527,1982,3,66.1,
USGS,9050700,60,18527,1982,4,64.7,
USGS,9050700,60,18527,1982,5,51.7,
USGS,9050700,60,18527,1982,6,57.4,
USGS,9050700,60,18527,1982,7,205.3,
USGS,9050700,60,18527,1982,8,296.8,
USGS,9050700,60,18527,1982,9,215.8,
USGS,9050700,60,18527,1982,10,139.9,
USGS,9050700,60,18527,1982,11,78,
USGS,9050700,60,18527,1982,12,87.8,
USGS,9050700,60,18527,1983,1,86.7,
USGS,9050700,60,18527,1983,2,108.7,
USGS,9050700,60,18527,1983,3,125.7,
USGS,9050700,60,18527,1983,4,181.9,
USGS,9050700,60,18527,1983,5,385.9,
USGS,9050700,60,18527,1983,6,1394,
USGS,9050700,60,18527,1983,7,1282,
USGS,9050700,60,18527,1983,8,604.6,
USGS,9050700,60,18527,1983,9,347.9,
USGS,9050700,60,18527,1983,10,140.5,
USGS,9050700,60,18527,1983,11,102,
USGS,9050700,60,18527,1983,12,112,
USGS,9050700,60,18527,1984,1,31,
USGS,9050700,60,18527,1984,2,136.4,
USGS,9050700,60,18527,1984,3,90.9,
USGS,9050700,60,18527,1984,4,126.1,
USGS,9050700,60,18527,1984,5,1101,
USGS,9050700,60,18527,1984,6,1813,
USGS,9050700,60,18527,1984,7,1476,
USGS,9050700,60,18527,1984,8,998.7,
USGS,9050700,60,18527,1984,9,311.3,
USGS,9050700,60,18527,1984,10,46.4,
USGS,9050700,60,18527,1984,11,268.3,
USGS,9050700,60,18527,1984,12,192.8,
USGS,9050700,60,18527,1985,1,93.8,
USGS,9050700,60,18527,1985,2,70.5,
USGS,9050700,60,18527,1985,3,94.1,
USGS,9050700,60,18527,1985,4,216.7,
USGS,9050700,60,18527,1985,5,413.5,
USGS,9050700,60,18527,1985,6,1146,
USGS,9050700,60,18527,1985,7,564.7,
USGS,9050700,60,18527,1985,8,442.9,
USGS,9050700,60,18527,1985,9,292.6,
USGS,9050700,60,18527,1985,10,170.5,
USGS,9050700,60,18527,1985,11,100.1,
USGS,9050700,60,18527,1985,12,75.6,
USGS,9050700,60,18527,1986,1,51.2,
USGS,9050700,60,18527,1986,2,47.6,
USGS,9050700,60,18527,1986,3,48.6,
USGS,9050700,60,18527,1986,4,47.3,
USGS,9050700,60,18527,1986,5,425.7,
USGS,9050700,60,18527,1986,6,1430,
USGS,9050700,60,18527,1986,7,747.8,
USGS,9050700,60,18527,1986,8,301.6,
USGS,9050700,60,18527,1986,9,316.6,
USGS,9050700,60,18527,1986,10,242.5,
USGS,9050700,60,18527,1986,11,96.6,
USGS,9050700,60,18527,1986,12,52.2,
USGS,9050700,60,18527,1987,1,52.1,
USGS,9050700,60,18527,1987,2,51.7,
USGS,9050700,60,18527,1987,3,50.2,
USGS,9050700,60,18527,1987,4,49.2,
USGS,9050700,60,18527,1987,5,420.4,
USGS,9050700,60,18527,1987,6,815.5,
USGS,9050700,60,18527,1987,7,356.9,
USGS,9050700,60,18527,1987,8,249.8,
USGS,9050700,60,18527,1987,9,154.6,
USGS,9050700,60,18527,1987,10,144.9,
USGS,9050700,60,18527,1987,11,54.9,
USGS,9050700,60,18527,1987,12,53,
USGS,9050700,60,18527,1988,1,56,
USGS,9050700,60,18527,1988,2,82.2,
USGS,9050700,60,18527,1988,3,99.9,
USGS,9050700,60,18527,1988,4,101.1,
USGS,9050700,60,18527,1988,5,198.5,
USGS,9050700,60,18527,1988,6,978.2,
USGS,9050700,60,18527,1988,7,232.1,
USGS,9050700,60,18527,1988,8,89.6,
USGS,9050700,60,18527,1988,9,100.3,
USGS,9050700,60,18527,1988,10,98.8,
USGS,9050700,60,18527,1988,11,67.8,
USGS,9050700,60,18527,1988,12,44.6,
