#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 22:47:22 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09085100 COLORADO RIVER BELOW GLENWOOD SPRINGS,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9085100,60,18723,1980,1,1781,
USGS,9085100,60,18723,1980,2,1735,
USGS,9085100,60,18723,1980,3,1697,
USGS,9085100,60,18723,1980,4,2555,
USGS,9085100,60,18723,1980,5,8135,
USGS,9085100,60,18723,1980,6,13290,
USGS,9085100,60,18723,1980,7,5394,
USGS,9085100,60,18723,1980,8,2537,
USGS,9085100,60,18723,1980,9,2037,
USGS,9085100,60,18723,1980,10,1808,
USGS,9085100,60,18723,1980,11,1744,
USGS,9085100,60,18723,1980,12,1551,
USGS,9085100,60,18723,1981,1,1192,
USGS,9085100,60,18723,1981,2,1023,
USGS,9085100,60,18723,1981,3,1037,
USGS,9085100,60,18723,1981,4,1796,
USGS,9085100,60,18723,1981,5,2975,
USGS,9085100,60,18723,1981,6,5062,
USGS,9085100,60,18723,1981,7,2450,
USGS,9085100,60,18723,1981,8,1802,
USGS,9085100,60,18723,1981,9,1841,
USGS,9085100,60,18723,1981,10,1730,
USGS,9085100,60,18723,1981,11,1504,
USGS,9085100,60,18723,1981,12,1295,
USGS,9085100,60,18723,1982,1,1327,
USGS,9085100,60,18723,1982,2,1325,
USGS,9085100,60,18723,1982,3,1461,
USGS,9085100,60,18723,1982,4,2122,
USGS,9085100,60,18723,1982,5,5694,
