#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 16:02:46 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9163500,60,19083,1980,1,3996,
USGS,9163500,60,19083,1980,2,4139,
USGS,9163500,60,19083,1980,3,4169,
USGS,9163500,60,19083,1980,4,6551,
USGS,9163500,60,19083,1980,5,20300,
USGS,9163500,60,19083,1980,6,22290,
USGS,9163500,60,19083,1980,7,7143,
USGS,9163500,60,19083,1980,8,3073,
USGS,9163500,60,19083,1980,9,3535,
USGS,9163500,60,19083,1980,10,3775,
USGS,9163500,60,19083,1980,11,4572,
USGS,9163500,60,19083,1980,12,4297,
USGS,9163500,60,19083,1981,1,3844,
USGS,9163500,60,19083,1981,2,3123,
USGS,9163500,60,19083,1981,3,2681,
USGS,9163500,60,19083,1981,4,2727,
USGS,9163500,60,19083,1981,5,4600,
USGS,9163500,60,19083,1981,6,6516,
USGS,9163500,60,19083,1981,7,2954,
USGS,9163500,60,19083,1981,8,2278,
USGS,9163500,60,19083,1981,9,3322,
USGS,9163500,60,19083,1981,10,4017,
USGS,9163500,60,19083,1981,11,3528,
USGS,9163500,60,19083,1981,12,3131,
USGS,9163500,60,19083,1982,1,2981,
USGS,9163500,60,19083,1982,2,3831,
USGS,9163500,60,19083,1982,3,4256,
USGS,9163500,60,19083,1982,4,4836,
USGS,9163500,60,19083,1982,5,12340,
USGS,9163500,60,19083,1982,6,16370,
USGS,9163500,60,19083,1982,7,8769,
USGS,9163500,60,19083,1982,8,5125,
USGS,9163500,60,19083,1982,9,5735,
USGS,9163500,60,19083,1982,10,5749,
USGS,9163500,60,19083,1982,11,5226,
USGS,9163500,60,19083,1982,12,4579,
USGS,9163500,60,19083,1983,1,4363,
USGS,9163500,60,19083,1983,2,4210,
USGS,9163500,60,19083,1983,3,4384,
USGS,9163500,60,19083,1983,4,4574,
USGS,9163500,60,19083,1983,5,17540,
USGS,9163500,60,19083,1983,6,41400,
USGS,9163500,60,19083,1983,7,25650,
USGS,9163500,60,19083,1983,8,10190,
USGS,9163500,60,19083,1983,9,4991,
USGS,9163500,60,19083,1983,10,5167,
USGS,9163500,60,19083,1983,11,5235,
USGS,9163500,60,19083,1983,12,5262,
USGS,9163500,60,19083,1984,1,4982,
USGS,9163500,60,19083,1984,2,5501,
USGS,9163500,60,19083,1984,3,6268,
USGS,9163500,60,19083,1984,4,9017,
USGS,9163500,60,19083,1984,5,37960,
USGS,9163500,60,19083,1984,6,43120,
USGS,9163500,60,19083,1984,7,22520,
USGS,9163500,60,19083,1984,8,9675,
USGS,9163500,60,19083,1984,9,6767,
USGS,9163500,60,19083,1984,10,7065,
USGS,9163500,60,19083,1984,11,6490,
USGS,9163500,60,19083,1984,12,5655,
USGS,9163500,60,19083,1985,1,6129,
USGS,9163500,60,19083,1985,2,5996,
USGS,9163500,60,19083,1985,3,7401,
USGS,9163500,60,19083,1985,4,15600,
USGS,9163500,60,19083,1985,5,28570,
USGS,9163500,60,19083,1985,6,25280,
USGS,9163500,60,19083,1985,7,9789,
USGS,9163500,60,19083,1985,8,5013,
USGS,9163500,60,19083,1985,9,5119,
USGS,9163500,60,19083,1985,10,7210,
USGS,9163500,60,19083,1985,11,6353,
USGS,9163500,60,19083,1985,12,5993,
USGS,9163500,60,19083,1986,1,5458,
USGS,9163500,60,19083,1986,2,5950,
USGS,9163500,60,19083,1986,3,7486,
USGS,9163500,60,19083,1986,4,13070,
USGS,9163500,60,19083,1986,5,22370,
USGS,9163500,60,19083,1986,6,24070,
USGS,9163500,60,19083,1986,7,14200,
USGS,9163500,60,19083,1986,8,5612,
USGS,9163500,60,19083,1986,9,6601,
USGS,9163500,60,19083,1986,10,7672,
USGS,9163500,60,19083,1986,11,6925,
USGS,9163500,60,19083,1986,12,5894,
USGS,9163500,60,19083,1987,1,5116,
USGS,9163500,60,19083,1987,2,5517,
USGS,9163500,60,19083,1987,3,6174,
USGS,9163500,60,19083,1987,4,9163,
USGS,9163500,60,19083,1987,5,15520,
USGS,9163500,60,19083,1987,6,11080,
USGS,9163500,60,19083,1987,7,5023,
USGS,9163500,60,19083,1987,8,4225,
USGS,9163500,60,19083,1987,9,3892,
USGS,9163500,60,19083,1987,10,4267,
USGS,9163500,60,19083,1987,11,4650,
USGS,9163500,60,19083,1987,12,3766,
USGS,9163500,60,19083,1988,1,3080,
