Gage,Year,Simulated Flow (acre-feet/month),Simulated Flow (m3/s)
9163500,1908,172270,80.80320919
9163500,1908,160879,75.46026291
9163500,1908,170448,79.94860045
9163500,1909,163650,76.75999991
9163500,1909,139251,65.31565382
9163500,1909,218825,102.6398227
9163500,1909,301519,141.4274269
9163500,1909,623222,292.322155
9163500,1909,676180,317.1620943
9163500,1909,885149,415.1789622
9163500,1909,365364,171.3739114
9163500,1909,479455,224.8882723
9163500,1909,310374,145.5808629
9163500,1909,261590,122.6987374
9163500,1909,223086,104.6384439
9163500,1910,213342,100.0680226
9163500,1910,175908,82.50961237
9163500,1910,332314,155.8718155
9163500,1910,369491,173.30968
9163500,1910,663993,311.4457844
9163500,1910,629694,295.3578453
9163500,1910,222766,104.4883479
9163500,1910,181258,85.0190288
9163500,1910,238914,112.0625641
9163500,1910,217772,102.1459132
9163500,1910,194172,91.07633793
9163500,1910,165790,77.76376648
9163500,1911,171581,80.48003388
9163500,1911,158344,74.27122166
9163500,1911,262494,123.1227584
9163500,1911,408737,191.7180084
9163500,1911,954028,447.4866434
9163500,1911,507637,238.1070337
9163500,1911,532950,249.9800914
9163500,1911,294535,138.1515831
9163500,1911,173691,81.46972896
9163500,1911,416306,195.2682464
9163500,1911,223021,104.6079556
9163500,1911,183652,86.14193402
9163500,1912,187052,87.73670335
9163500,1912,169040,79.28817833
9163500,1912,222951,104.5751221
9163500,1912,360614,169.1459249
9163500,1912,935864,438.9668228
9163500,1912,336763,157.9586181
9163500,1912,117007,54.88211005
9163500,1912,539918,253.2484304
9163500,1912,313400,147.0002076
9163500,1912,315145,147.8186995
9163500,1912,227146,106.5427861
9163500,1912,203193,95.30763618
9163500,1913,186105,87.29251318
9163500,1913,157484,73.86783883
9163500,1913,227658,106.7829396
9163500,1913,421853,197.8700656
9163500,1913,880998,413.2319364
9163500,1913,724796,339.9654194
9163500,1913,372578,174.7576367
9163500,1913,201919,94.71006673
9163500,1913,253326,118.8225098
9163500,1913,295871,138.7782336
9163500,1913,242037,113.5274066
9163500,1913,184060,86.33330634
9163500,1914,178428,83.69161786
9163500,1914,176822,82.93832388
9163500,1914,266509,125.0059934
9163500,1914,387777,181.8867246
9163500,1914,899024,421.6870281
9163500,1914,500801,234.9006093
9163500,1914,957906,449.3056185
9163500,1914,335598,157.4121751
9163500,1914,262023,122.901836
9163500,1914,327398,153.5659667
9163500,1914,213262,100.0304986
9163500,1914,173387,81.32713782
9163500,1915,165894,77.81254766
9163500,1915,147049,68.97330416
9163500,1915,194349,91.15935974
9163500,1915,213650,100.2124899
9163500,1915,376497,176.5958429
9163500,1915,895843,420.1949807
9163500,1915,438614,205.7318093
9163500,1915,180766,84.7882563
9163500,1915,185573,87.04297869
9163500,1915,214452,100.5886679
9163500,1915,181417,85.09360772
9163500,1915,176727,82.89376415
9163500,1916,173050,81.16906803
9163500,1916,152219,71.39829163
9163500,1916,327626,153.67291
9163500,1916,466781,218.9435351
9163500,1916,832368,390.4220446
9163500,1916,353753,165.9277742
9163500,1916,653359,306.4579088
9163500,1916,486087,227.9990105
9163500,1916,319473,149.848747
9163500,1916,189764,89.00876641
9163500,1916,179517,84.2024131
9163500,1916,163641,76.75577846
9163500,1917,152561,71.55870667
9163500,1917,140043,65.68714126
9163500,1917,197241,92.51585177
9163500,1917,358995,168.3865333
9163500,1917,336433,157.8038316
9163500,1917,297914,139.7365024
9163500,1917,182722,85.70571771
9163500,1917,433149,203.1684522
9163500,1917,155370,72.87626756
9163500,1917,176804,82.92988099
