Year,Stream Inflow,Return,From/To GWStorage,From SoilM,From Plan (5),Total Inflow,Divert (6),From River by Well,Well Depletion,Reservoir Evaporation,Reservoir Seepage,Stream Outflow,Reservoir Change,To SoilM,SoilM Change,Total Outflow,Delta,CU (1),Loss (2),Pumping (3),Salvage (4)
1909,10001492492,4712151397,0,16327574.76,0,14729971464,6030185218,0,0,39784663.92,0,7672101283,971571491.2,42778319.88,-26449511.64,14729972697,1233.48,1012996683,69053910.84,0,0
1910,5813619434,4899399829,0,19220085.36,0,10732238114,6091503976,0,0,46397350.2,0,4641444623,-66326686.56,10157707.8,9062377.56,10732238114,1233.48,1201384850,64741664.76,0,0
1911,7684687713,4946294271,0,14638940.64,0,12645622158,6199690039,0,0,47028891.96,0,6279626944,104638575.4,19313829.84,-4674889.2,12645623392,-1233.48,1220418680,67672413.24,0,0
1912,10311781787,5034765624,0,11616914.64,0,15358164326,6291256194,0,0,48780433.56,0,8789481211,217032039.5,15345724.68,-3730043.52,15358164326,-1233.48,1225989076,69940782.96,0,0
1913,6431845777,4943553479,0,15011451.6,0,11390410708,6177008809,0,0,49763517.12,0,5211499872,-62874176.04,10685637.24,4325814.36,11390409474,1233.48,1238410220,65564395.92,0,0
1914,11053691637,5050160688,0,13436297.64,0,16117288623,6324859889,0,0,49868362.92,0,9671460116,57659022.6,16400350.08,-2964052.44,16117284922,3700.44,1242377091,70025893.08,0,0
1915,5543313393,4911783968,0,18130922.52,0,10473228284,6096006178,0,0,48835940.16,0,4392955143,-82698666.6,11684756.04,6447399.96,10473229517,0,1188080535,65944307.76,0,0
1916,7977341944,5013416553,0,12835592.88,0,13003594089,6266532321,0,0,49051799.16,0,6613791478,61377964.8,20065019.16,-7229426.28,13003590389,3700.44,1218632601,69803866.68,0,0
1917,9864259208,4979994178,0,12951540,0,14857204926,6204244048,0,0,49667305.68,0,8572478775,17854623,12723346.2,228193.8,14857196292,7400.88,1207199475,68379197.28,0,0
1918,8822479268,4990068010,0,13697795.4,0,13826246307,6224423780,0,0,49563693.36,0,7567646496,-29085458.4,13266077.4,431718,13826246307,-1233.48,1223432072,68359461.6,0,0
1919,5732836362,4890533574,0,16938147.36,0,10640308083,6080283008,0,0,49035763.92,0,4539011510,-44957879.04,11237002.8,5699911.08,10640308083,-1233.48,1191642825,65154880.56,0,0
1920,9300479905,4991435939,0,13369689.72,0,14305285533,6284866767,0,0,49002459.96,0,7887640812,70399637.52,19258323.24,-5888633.52,14305280600,4933.92,1255671539,69575672.88,0,0
1921,9136798342,5017720164,0,12852861.6,0,14167371368,6252124041,0,0,49705543.56,0,7851768746,915242.16,13607751.36,-754889.76,14167366434,4933.92,1216691104,69390650.88,0,0
1922,7500448973,4948792068,0,14865900.96,0,12464106942,6201457616,0,0,49455147.12,0,6257817784,-59487039.96,12072068.76,2793832.2,12464109409,-1233.48,1249589249,67144483.8,0,0
1923,8507016758,5000837523,0,11784667.92,0,13519638950,6274421659,0,0,48951887.28,0,7122541538,61940431.68,14916473.64,-3131805.72,13519640183,-2466.96,1242855681,69686686.08,0,0
1924,7452608451,4846262744,0,18687222,0,12317558417,6060201954,0,0,49419376.2,0,6284715049,-95466418.08,12972509.16,5714712.84,12317557183,2466.96,1218931103,66226774.68,0,0
1925,6345896891,4911222735,0,15247046.28,0,11272366672,6178306430,0,0,48475764,0,4989689331,40644399.48,17635063.56,-2388017.28,11272361738,4933.92,1248104139,65433647.04,0,0
1926,7922926974,4841310322,0,17320526.16,0,12781557822,6026899227,0,0,49801755,0,6657076758,30455854.68,16612508.64,706784.04,12781551654,4933.92,1180009875,64338316.8,0,0
1927,8094163601,4963197881,0,12796121.52,0,13070158838,6206104135,0,0,49684574.4,0,6773532072,28040700.84,16285636.44,-3489514.92,13070157604,1233.48,1216137271,67631708.4,0,0
1928,8413900120,4943275946,0,13713830.64,0,13370889896,6146053395,0,0,50018847.48,0,7184063820,-22959996.72,12083170.08,1630660.56,13370891130,-1233.48,1194922649,66197171.16,0,0
1929,9249153569,4937541497,0,12709777.92,0,14199404844,6256768093,0,0,49653737.4,0,7835407867,44865368.04,15064491.24,-2354713.32,14199404844,1233.48,1299902898,66565981.68,0,0
1930,6982071602,4900525996,0,14391011.16,0,11896988609,6101490230,0,0,50163164.64,0,5761846578,-30907308.36,12247222.92,2143788.24,11896983675,4933.92,1194939917,64591180.2,0,0
1931,4186199226,4622642688,0,22809512.16,0,8831650192,5738948255,0,0,48256204.56,0,3101911099,-80272411.44,13763169.84,9046342.32,8831652659,-1233.48,1129102922,61714704.84,0,0
1932,7905738430,4881994192,0,13288280.04,0,12801020903,6151449870,0,0,48939552.48,0,6548905496,38436470.28,22136032.08,-8847752.04,12801020903,1233.48,1223313658,68390298.6,0,0
1933,6704362214,4856848469,0,17802816.84,0,11579013500,6059300280,0,0,48488098.8,0,5474562918,-21143080.68,16413918.36,1388898.48,11579009800,2466.96,1195101503,65357171.28,0,0
1934,3787703776,4526421380,0,25285106.52,0,8339410262,5625809769,0,0,46277702.64,0,2832195895,-190161911.2,12882465.12,12402641.4,8339405328,3700.44,1123053936,61361929.56,0,0
1935,5788092565,4802287948,0,14245460.52,0,10604625974,6068472437,0,0,45271182.96,0,4416336990,60394881.24,26025194.52,-11779734,10604720952,-94977.96,1208851105,67165452.96,0,0
1936,7566832399,4912339034,0,20108190.96,0,12499279624,6154295508,0,0,47945367.6,0,6141781854,135146236.2,15480174,4626783.48,12499274690,2466.96,1237385198,66055320.96,0,0
1937,5527994805,4789745924,0,18884578.8,0,10336625307,6037571296,0,0,48256204.56,0,4254700538,-22784842.56,19244754.96,-360176.16,10336626541,-1233.48,1234939207,65429946.6,0,0
1938,8523826624,4966972330,0,14384843.76,0,13505182564,6244731795,0,0,49094970.96,0,7123423476,73546245,19934270.28,-5549426.52,13505182564,1233.48,1241633303,68856554.04,0,0
1939,5893751229,4857692169,0,23173388.76,0,10774616787,6055569003,0,0,48785367.48,0,4742966195,-95875933.44,13028015.76,10144139.52,10774615553,-1233.48,1213099210,64408625.16,0,0
1940,4526781556,4668529377,0,21604402.2,0,9216915335,5863926916,0,0,46536733.44,0,3343021901,-58174617.24,21563697.36,40704.84,9216915335,-1233.48,1187370051,62770563.72,0,0
1941,6429373883,4857774813,0,16718587.92,0,11303867284,6152159121,0,0,48158759.64,0,5031306946,55523868.72,23024137.68,-6306783.24,11303864817,1233.48,1261016208,66340254.84,0,0
1942,7763182680,4837064683,0,15724403.04,0,12615971766,6125497451,0,0,48844574.52,0,6403971596,21925107,16907310.36,-1184140.8,12615961898,9867.84,1267355061,65473118.4,0,0
1943,6263854436,4923773394,0,17755944.6,0,11205383774,6209538144,0,0,48161226.6,0,4925248636,4678589.64,16463257.56,1291453.56,11205381307,1233.48,1272258144,67070475,0,0
1944,5741605171,4829335698,0,17936032.68,0,10588876901,6086174109,0,0,47931799.32,0,4502674423,-65843162.4,18366517.2,-430484.52,10588873201,3700.44,1244518413,66218140.32,0,0
1945,6296968440,4917746610,0,13916121.36,0,11228631171,6205693387,0,0,47643165,0,4890235072,71139725.52,17454975.48,-3538854.12,11228627471,4933.92,1255764050,68781311.76,0,0
1946,5280890523,4874576044,0,18586076.64,0,10174052643,6103486000,0,0,48599112,0,4066367877,-62982722.28,12740614.92,5845461.72,10174056344,-3700.44,1231740793,65095673.52,0,0
1947,7609440499,4980111359,0,12101672.28,0,12601654764,6269519809,0,0,48501667.08,0,6162933569,108595579.2,19785019.2,-7684580.4,12601651063,2466.96,1248344667,69865540.68,0,0
1948,7073117227,4932069780,0,16156121.04,0,12021343128,6155866962,0,0,49281226.44,0,5878378367,-78340781.76,11663786.88,4492334.16,12021343128,0,1224811103,66622721.76,0,0
1949,7093013260,4923388548,0,16100614.44,0,12032502422,6194955943,0,0,48367217.76,0,5717639888,55430124.24,18186429.12,-2085814.68,12032493788,7400.88,1247719293,68189241.36,0,0
1950,5691861390,4869586617,0,18866076.6,0,10580314083,6221023076,0,0,46961050.56,0,4493535570,-200074156.4,14469953.88,4394889.24,10580310383,1233.48,1351223067,65453382.72,0,0
1951,6066637019,4938263083,0,24845987.64,0,11029746090,6287871525,0,0,45297086.04,0,4542649043,129082448.5,21700613.64,3144140.52,11029744856,0,1328819370,67837699.56,0,0
1952,9666808663,5041454786,0,16809865.44,0,14725073315,6398161905,0,0,48515235.36,0,8165303327,96281748.36,22598587.08,-5787488.16,14725073315,1233.48,1309051619,70841223.36,0,0
1953,5675324123,4939031541,0,25143256.32,0,10639500154,6221777966,0,0,47326160.64,0,4417269501,-72017963.28,18896913.6,6246342.72,10639498921,0,1282826601,67550298.72,0,0
1954,3389420485,4668211139,0,22517177.4,0,8080148802,5996859055,0,0,42193650.36,0,2475503082,-456921696.8,19660437.72,2856739.68,8080150035,0,1334478576,64487567.88,0,0
1955,4706469988,4730891659,0,23014269.84,0,9460374684,6117354016,0,0,38371095.84,0,3462319153,-180682617.4,22233477,780792.84,9460374684,0,1347969147,65781488.4,0,0
1956,5287305853,4842681951,0,23220261,0,10153208065,6207238937,0,0,38345192.76,0,3854111872,30293035.32,22672595.88,546431.64,10153206831,1233.48,1342825535,66009682.2,0,0
1957,10676303497,4964701493,0,11984491.68,0,15652989482,6158526345,0,0,42926337.48,0,8720882455,718808003,27189599.64,-15205107.96,15653128865,-140616.72,1128042130,69977787.36,0,0
1958,7715424801,4976689686,0,19771450.92,0,12711885937,6247809328,0,0,49120874.04,0,6560665494,-165484910.3,11404756.08,8366694.84,12711882237,4933.92,1278133209,67598404.44,0,0
1959,4874409524,4833603539,0,23337441.6,0,9731351738,6120295866,0,0,45504310.68,0,3539320375,2893744.08,21679644.48,1657797.12,9731350504,1233.48,1285859728,65672942.16,0,0
1960,5909096953,4859494284,0,23406516.48,0,10791997753,6187925107,0,0,47001755.4,0,4514720589,18941318.88,19137442.2,4270307.76,10791996520,1233.48,1307666421,65490387.12,0,0
1961,4536099264,4824695346,0,17917530.48,0,9378712140,5944584173,0,0,45890389.92,0,3321226310,49093737.48,27457264.8,-9539734.32,9378713374,0,1097629447,65961576.48,0,0
1962,8935544979,5040174434,0,15508544.04,0,13991227957,6399198029,0,0,49356468.72,0,7535398395,-8239646.4,16337442.6,-828898.56,13991221790,6167.4,1321686155,69789064.92,0,0
1963,4080001532,4842482128,0,21176384.64,0,8943660044,6182734623,0,0,42936205.32,0,3047255600,-350442769.3,12419910.12,8755241.04,8943660044,-1233.48,1346574081,66885453,0,0
1964,5084770904,4795165835,0,21085107.12,0,9901023079,6214864310,0,0,39969685.92,0,3799922629,-174824820.8,23125283.04,-2040175.92,9901018145,3700.44,1388416189,67047038.88,0,0
1965,8754107472,5034363510,0,13967927.52,0,13802438909,6303593461,0,0,43772504.76,0,6836440785,604665464.3,25108718.88,-11140791.36,13802441376,-2466.96,1217405289,70722809.28,0,0
1966,4496970811,4901822383,0,27151361.76,0,9425943323,6244063249,0,0,46146953.76,0,3470632808,-362047349.2,11212333.2,15939028.56,9425945790,-1233.48,1354729851,69155056.2,0,0
1967,4885789610,4837984860,0,20309248.2,0,9744084952,6062388914,0,0,43308716.28,0,3489823290,128252316.5,24563520.72,-4254272.52,9744082485,1233.48,1194727759,66848448.6,0,0
1968,5988322140,5077106059,0,14374975.92,0,11079803175,6413516264,0,0,44547130.2,0,4611589473,-4225902.48,22830481.32,-8455505.4,11079803175,0,1283070830,72660606.36,0,0
1969,6591574036,5085235926,0,18813036.96,0,11695622999,6276419896,0,0,46566336.96,0,5240173348,113647913.3,16743257.52,2069779.44,11695620532,2466.96,1177999303,71338315.8,0,0
1970,8147259981,5003998933,0,13736033.28,0,13164996181,6179532509,0,0,48544838.88,0,6825536822,97641043.32,18064314.6,-4328281.32,13164992481,3700.44,1159018513,67949946.24,0,0
1971,7819742671,4942549426,0,15804579.24,0,12778096677,6123385733,0,0,49072768.32,0,6612634474,-22800877.8,14108544.24,1694801.52,12778096677,1233.48,1170080361,67012501.44,0,0
1972,5386282755,4979049333,0,23718586.92,0,10389050674,6274665888,0,0,47384134.2,0,4092416508,-49134442.32,14699381.16,9019205.76,10389049441,1233.48,1290904661,68184307.44,0,0
1973,7999210311,4953223962,0,13405460.64,0,12965839734,6119294280,0,0,48258671.52,0,6716007499,68867655.36,22860084.84,-9454624.2,12965833566,6167.4,1125902042,68344659.84,0,0
1974,6583488575,5003697964,0,23902375.44,0,11611088914,6369566139,0,0,47987305.92,0,5258553434,-88925273.64,12997178.76,10905196.68,11611083980,3700.44,1372010905,68201576.16,0,0
1975,7257512620,5046504654,0,12824491.56,0,12316841765,6400770716,0,0,47245984.44,0,5822558463,33440876.28,23770393.08,-10945901.52,12316839298,1233.48,1280411447,75923160.96,0,0
1976,5291656337,5041169853,0,18211098.72,0,10351037288,6426519611,0,0,45797878.92,0,4066620741,-206115741.5,13465901.16,4743964.08,10351032354,3700.44,1379733724,71914350.96,0,0
1977,3062422470,4691544880,0,22777441.68,0,7776744792,5954849193,0,0,39171624.36,0,2249675097,-489728564.4,11941319.88,10836121.8,7776746026,0,1287933208,67748889,0,0
1978,6692332084,5060043330,0,18969688.92,0,11771345103,6507458101,0,0,40687571.28,0,4788772708,415455799.7,27108189.96,-8138501.04,11771343869,1233.48,1365003505,75636993.6,0,0
1979,8528941865,5087744824,0,17166341.16,0,13633853030,6392495298,0,0,46068011.04,0,6869067565,309050881,20715063.12,-3549955.44,13633846863,6167.4,1277185897,72066069,0,0
1980,7773699330,5149230101,0,16207927.2,0,12939137359,6350184467,0,0,48103253.04,0,6538164352,-13525108.2,16960350,-752422.8,12939134892,2466.96,1168967763,74338139.16,0,0
1981,4349091361,4983645279,0,25410921.48,0,9358147562,6279314874,0,0,43366689.84,0,3376985773,-366930696.5,16114182.72,9296738.76,9358147562,0,1307132324,71039813.64,0,0
1982,7315826620,5057025004,0,12886165.56,0,12385737790,6455883835,0,0,44057438.64,0,5602747393,270161723.5,26424842.04,-13538676.48,12385736557,2466.96,1335747827,74843865.96,0,0
1983,11321158206,5080903944,0,9549602.16,0,16411611752,6199053564,0,0,48345015.12,0,9969103774,185562264.2,11261672.4,-1712070.24,16411614219,-1233.48,1084433678,72355936.8,0,0
1984,13284041803,5299868846,0,10775681.28,0,18594686330,6447903220,0,0,50194001.64,0,12067782417,18031010.64,12643170,-1866255.24,18594687564,0,1111576405,82523512.44,0,0
1985,10813007618,5290082416,0,15265548.48,0,16118356816,6529525058,0,0,50766336.36,0,9589465767,-66665893.56,11401055.64,3864492.84,16118355583,-1233.48,1231169692,78168094.56,0,0
1986,10720578028,5223914848,0,11747663.52,0,15956240540,6442917494,0,0,49740081,0,9428444820,23386780.8,14293566.24,-2545902.72,15956238073,1233.48,1186035425,82249679.88,0,0
1987,7406124757,5063658660,0,18787133.88,0,12488570551,6183013390,0,0,49307129.52,0,6314736719,-77279988.96,10845989.64,7941144.24,12488564383,6167.4,1122545743,71893381.8,0,0
1988,5570674446,4884231725,0,25077881.88,0,10479984054,6147603879,0,0,47676468.96,0,4248353049,11275240.68,20258675.52,4819206.36,10479986520,-2466.96,1269796118,68777611.32,0,0
